ISIN,Date,Price,Model
AT0000821103,2023-09-29,7.59,prod_arima
AT0000821103,2023-10-02,7.6,prod_arima
AT0000821103,2023-10-03,7.6,prod_arima
AT0000821103,2023-10-04,7.6,prod_arima
AT0000821103,2023-10-05,7.61,prod_arima
AT0000821103,2023-10-06,7.61,prod_arima
AT0000999982,2023-09-25,3159.23,prod_exponential_smoothing
AT0000999982,2023-09-26,3159.53,prod_exponential_smoothing
AT0000999982,2023-09-27,3159.83,prod_exponential_smoothing
AT0000999982,2023-09-28,3160.12,prod_exponential_smoothing
AT0000999982,2023-09-29,3160.39,prod_exponential_smoothing
AT0000999982,2023-10-02,3160.66,prod_exponential_smoothing
AT0000999982,2023-10-03,3160.92,prod_exponential_smoothing
AT0000999982,2023-10-04,3161.16,prod_exponential_smoothing
AT0000999982,2023-10-05,3161.4,prod_exponential_smoothing
AT0000999982,2023-10-06,3161.63,prod_exponential_smoothing
AT0000743059,2023-09-25,45.22,prod_exponential_smoothing
AT0000743059,2023-09-26,45.24,prod_exponential_smoothing
AT0000743059,2023-09-27,45.26,prod_exponential_smoothing
AT0000743059,2023-09-28,45.28,prod_exponential_smoothing
AT0000743059,2023-09-29,45.31,prod_exponential_smoothing
AT0000743059,2023-10-02,45.33,prod_exponential_smoothing
AT0000743059,2023-10-03,45.35,prod_exponential_smoothing
AT0000743059,2023-10-04,45.37,prod_exponential_smoothing
AT0000743059,2023-10-05,45.39,prod_exponential_smoothing
AT0000743059,2023-10-06,45.41,prod_exponential_smoothing
AT0000937503,2023-09-25,26.05,prod_exponential_smoothing
AT0000937503,2023-09-26,25.98,prod_exponential_smoothing
AT0000937503,2023-09-27,25.91,prod_exponential_smoothing
AT0000937503,2023-09-28,25.84,prod_exponential_smoothing
AT0000937503,2023-09-29,25.77,prod_exponential_smoothing
AT0000937503,2023-10-02,25.7,prod_exponential_smoothing
AT0000937503,2023-10-03,25.63,prod_exponential_smoothing
AT0000937503,2023-10-04,25.56,prod_exponential_smoothing
AT0000937503,2023-10-05,25.49,prod_exponential_smoothing
AT0000937503,2023-10-06,25.42,prod_exponential_smoothing
AT0000652011,2023-09-25,32.48,prod_exponential_smoothing
AT0000652011,2023-09-26,32.49,prod_exponential_smoothing
AT0000652011,2023-09-27,32.51,prod_exponential_smoothing
AT0000652011,2023-09-28,32.53,prod_exponential_smoothing
AT0000652011,2023-09-29,32.54,prod_exponential_smoothing
AT0000652011,2023-10-02,32.56,prod_exponential_smoothing
AT0000652011,2023-10-03,32.58,prod_exponential_smoothing
AT0000652011,2023-10-04,32.59,prod_exponential_smoothing
AT0000652011,2023-10-05,32.61,prod_exponential_smoothing
AT0000652011,2023-10-06,32.62,prod_exponential_smoothing
AT0000746409,2023-09-25,79.23,prod_exponential_smoothing
AT0000746409,2023-09-26,79.27,prod_exponential_smoothing
AT0000746409,2023-09-27,79.3,prod_exponential_smoothing
AT0000746409,2023-09-28,79.34,prod_exponential_smoothing
AT0000746409,2023-09-29,79.38,prod_exponential_smoothing
AT0000746409,2023-10-02,79.41,prod_exponential_smoothing
AT0000746409,2023-10-03,79.45,prod_exponential_smoothing
AT0000746409,2023-10-04,79.49,prod_exponential_smoothing
AT0000746409,2023-10-05,79.52,prod_exponential_smoothing
AT0000746409,2023-10-06,79.56,prod_exponential_smoothing
AT0000922554,2023-09-25,30.6,prod_exponential_smoothing
AT0000922554,2023-09-26,30.6,prod_exponential_smoothing
AT0000922554,2023-09-27,30.61,prod_exponential_smoothing
AT0000922554,2023-09-28,30.61,prod_exponential_smoothing
AT0000922554,2023-09-29,30.61,prod_exponential_smoothing
AT0000922554,2023-10-02,30.61,prod_exponential_smoothing
