ISIN,Date,Return,Price,Model
AT0000908504,2023-09-29,1.0005339705551535,26.12,prod_arima
AT0000908504,2023-10-02,1.0005339705551535,26.13,prod_arima
AT0000908504,2023-10-03,1.0005339705551535,26.15,prod_arima
AT0000908504,2023-10-04,1.0005339705551535,26.16,prod_arima
AT0000908504,2023-10-05,1.0005339705551535,26.18,prod_arima
AT0000908504,2023-10-06,1.0005339705551535,26.19,prod_arima
AT0000A21KS2,2023-09-25,1.0010719443368612,18.22,prod_arima
AT0000A21KS2,2023-09-26,1.0010719443368612,18.24,prod_arima
AT0000A21KS2,2023-09-27,1.0010719443368612,18.26,prod_arima
AT0000A21KS2,2023-09-28,1.0010719443368612,18.28,prod_arima
AT0000A21KS2,2023-09-29,1.0010719443368612,18.3,prod_arima
AT0000A21KS2,2023-10-02,1.0010719443368612,18.32,prod_arima
AT0000A21KS2,2023-10-03,1.0010719443368612,18.34,prod_arima
AT0000A21KS2,2023-10-04,1.0010719443368612,18.36,prod_arima
AT0000A21KS2,2023-10-05,1.0010719443368612,18.38,prod_arima
AT0000A21KS2,2023-10-06,1.0010719443368612,18.4,prod_arima
AT0000641352,2023-09-25,0.999572350795852,30.84,prod_arima
AT0000641352,2023-09-26,0.9998908369013528,30.83,prod_arima
AT0000641352,2023-09-27,0.9999267675065223,30.83,prod_arima
AT0000641352,2023-09-28,0.9999308204474948,30.83,prod_arima
AT0000641352,2023-09-29,0.9999312776075977,30.83,prod_arima
AT0000641352,2023-10-02,0.9999313291738413,30.82,prod_arima
AT0000641352,2023-10-03,0.9999313349903526,30.82,prod_arima
AT0000641352,2023-10-04,0.9999313356464369,30.82,prod_arima
AT0000641352,2023-10-05,0.9999313357204411,30.82,prod_arima
AT0000641352,2023-10-06,0.9999313357287886,30.82,prod_arima
AT0000821103,2023-09-25,1.0013104362917562,7.58,prod_arima
AT0000821103,2023-09-26,1.0002747834731625,7.58,prod_arima
AT0000821103,2023-09-27,1.0004932805652307,7.59,prod_arima
AT0000821103,2023-09-28,1.0004932805652307,7.59,prod_arima
AT0000821103,2023-09-29,1.0004932805652307,7.59,prod_arima
AT0000821103,2023-10-02,1.0004932805652307,7.6,prod_arima
AT0000821103,2023-10-03,1.0004932805652307,7.6,prod_arima
AT0000821103,2023-10-04,1.0004932805652307,7.6,prod_arima
AT0000821103,2023-10-05,1.0004932805652307,7.61,prod_arima
AT0000821103,2023-10-06,1.0004932805652307,7.61,prod_arima
AT0000999982,2023-09-25,1.0001002259873208,3159.23,prod_exponential_smoothing
AT0000999982,2023-09-26,1.000097063208919,3159.53,prod_exponential_smoothing
AT0000999982,2023-09-27,1.000093900440519,3159.83,prod_exponential_smoothing
AT0000999982,2023-09-28,1.0000907376821213,3160.12,prod_exponential_smoothing
AT0000999982,2023-09-29,1.0000875749337255,3160.39,prod_exponential_smoothing
AT0000999982,2023-10-02,1.000084412195332,3160.66,prod_exponential_smoothing
AT0000999982,2023-10-03,1.0000812494669404,3160.92,prod_exponential_smoothing
AT0000999982,2023-10-04,1.000078086748551,3161.16,prod_exponential_smoothing
AT0000999982,2023-10-05,1.0000749240401634,3161.4,prod_exponential_smoothing
AT0000999982,2023-10-06,1.0000717613417776,3161.63,prod_exponential_smoothing
AT0000743059,2023-09-25,1.0004695910184644,45.22,prod_exponential_smoothing
AT0000743059,2023-09-26,1.0004678318007958,45.24,prod_exponential_smoothing
AT0000743059,2023-09-27,1.000466072586221,45.26,prod_exponential_smoothing
AT0000743059,2023-09-28,1.000464313374739,45.28,prod_exponential_smoothing
AT0000743059,2023-09-29,1.000462554166351,45.31,prod_exponential_smoothing
AT0000743059,2023-10-02,1.000460794961056,45.33,prod_exponential_smoothing
AT0000743059,2023-10-03,1.0004590357588543,45.35,prod_exponential_smoothing
AT0000743059,2023-10-04,1.0004572765597461,45.37,prod_exponential_smoothing
AT0000743059,2023-10-05,1.0004555173637313,45.39,prod_exponential_smoothing
AT0000743059,2023-10-06,1.00045375817081,45.41,prod_exponential_smoothing
AT0000937503,2023-09-25,0.9973536219487991,26.05,prod_exponential_smoothing
AT0000937503,2023-09-26,0.9973391964268095,25.98,prod_exponential_smoothing
AT0000937503,2023-09-27,0.9973250089257124,25.91,prod_exponential_smoothing
AT0000937503,2023-09-28,0.9973110118735674,25.84,prod_exponential_smoothing
