p;d;q;P;D;Q;s;LookBackWindowSize;SeasonalPeriod
0;0;0;0;0;0;5;260;5
1;0;0;0;0;0;5;260;5
1;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;1;0;0;2;5;260;5
0;0;0;0;0;1;5;260;5
0;0;1;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;1;5;260;5
0;0;2;0;0;0;5;260;5
0;0;0;1;0;1;5;260;5
0;0;1;0;0;0;5;260;5
0;0;0;1;0;1;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
1;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
1;0;0;0;0;0;5;260;5
0;0;0;0;0;1;5;260;5
0;0;0;0;0;0;5;260;5
0;0;2;0;0;0;5;260;5
0;0;1;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;1;5;260;5
2;0;0;0;0;0;5;260;5
0;0;0;1;0;2;5;260;5
1;0;0;0;0;1;5;260;5
2;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;1;5;260;5
1;0;0;0;0;1;5;260;5
1;0;0;0;0;1;5;260;5
2;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;1;0;0;0;5;260;5
4;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;1;0;0;0;5;260;5
0;0;2;0;0;0;5;260;5
0;0;2;0;0;0;5;260;5
4;0;0;0;0;0;5;260;5
0;0;0;0;0;0;5;260;5
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;2;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
